classe	cpf	nome	reais	usd	euros	libras	total
Microempresa	00.676.460/0001-34	ADVOCACIA BETTIOL SC	3147319.8	0	0	0	3147319.8
Microempresa	02.330.445/0001-65	TECNOTREE SISTEMAS DE TELECOMUNICACOES LTDA	276029.37	388764.37	0	0	2441446.9109
Microempresa	02.586.091/0001-14	RADIOCELL ENGENHARIA LTDA	1713266.12	0	0	0	1713266.12
Microempresa	21.833.402/0001-47	GOWIFI TELECOM INOVACAO EM SERVICOS DE TELECOMUNICACOES LTDA	1674029.5	0	0	0	1674029.5
Microempresa	08.020.905/0001-35	STD SISTEMAS DE SEGURANCA LTDA	1633246.01	0	0	0	1633246.01
Microempresa	03.860.861/0001-38	CENTER TELECOM COMERCIO E SERVICOS LTDA - ME	1290043.19	0	0	0	1290043.19
Microempresa	12.927.744/0001-35	ASSIA INFORMATICA IMPORTACAO E SERVICOS LTDA	1266735.29	0	0	0	1266735.29
Microempresa	12.260.443/0001-09	ASCENTY TELECOMUNICACOES LTDA	1103062.37	0	0	0	1103062.37
Microempresa	07.743.873/0001-33	DELTA GROUP CONSULTORIA EM SEG	885970.6	0	0	0	885970.6
Microempresa	07.821.166/0001-18	DEVELOPMENT DISPLAYS GRAFICA E EDITORA LTDA - ME	826800.94	0	0	0	826800.94
Microempresa	04.698.481/0001-01	3ELOS INFORMATICA LTDA	814919.57	0	0	0	814919.57
Microempresa	05.463.192/0001-96	AQUAMAR MANUTENCOES E SERVICOS LTDA ME	783888.01	0	0	0	783888.01
Microempresa	01.277.298/0001-44	KHOMP INDUSTRIA E COMERCIO LTDA	773355.7	0	0	0	773355.7
Microempresa	13.005.456/0001-96	CODDERA SOFTWARE LTDA	749969.11	0	0	0	749969.11
Microempresa	05.927.880/0001-60	OPEN SWITCH SOFTWARE, CONSULTORIA, COMERCIO E MONTAGEM DE EQUIPAMENTOS ELETRONICOS LTDA - EPP	742016.92	0	0	0	742016.92
Microempresa	12.347.893/0001-25	MOVCEL TELEFONES LTDA	668817.47	0	0	0	668817.47
Microempresa	02.677.285/0001-25	UTILINOX COMERCIO E INDUSTRIA LTDA - ME	664614.83	0	0	0	664614.83
Microempresa	10.306.419/0001-20	ASN COMERCIO DE TELEFONIA LTDA	584329.92	0	0	0	584329.92
Microempresa	09.478.172/0001-40	3OHI COM SER EQUI TEL ELE INF	583370.01	0	0	0	583370.01
Microempresa	04.698.084/0001-30	REDE SOLUTIONS DISTRIBUIDORA DE MATERIAIS PARA TELECOMUNICACOES LTDA	531742.41	0	0	0	531742.41
Microempresa	08.694.098/0001-36	ELSYS INDUSTRIA, COMERCIO E SERVICOS DE EQUIPAMENTOS ELETRO-ELETRONICOS E INFORMATICA LTDA	526741.55	0	0	0	526741.55
Microempresa	32.711.061/0001-53	TELEQUIPE COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA	495615.47	0	0	0	495615.47
Microempresa	15.449.156/0001-21	ACUSTICA AMBIENTAL DO BRASIL PROJETO E INSTALACAO LTDA - ME	472000.1	0	0	0	472000.1
Microempresa	11.811.111/0001-02	ARCAD GEO PROCESSAMENTO DE PROJETOS EIRELI	467866.49	0	0	0	467866.49
Microempresa	10.497.494/0001-15	FELIPE G. FERREIRA - EPP	453249.72	0	0	0	453249.72
Microempresa	09.078.124/0001-64	LEVEL 33 INDUSTRIA E COMERCIO LTDA - ME	430931.59	0	0	0	430931.59
Microempresa	10.998.042/0001-17	TRUQUE PRODUTORA LTDA-ME	417848.39	0	0	0	417848.39
Microempresa	15.447.648/0001-88	VENTURA TELECOMUNICACOES LTDA	411135.29	0	0	0	411135.29
Microempresa	10.684.048/0001-10	SPACE MAP PROJETOS E CONSTRUCOES LTDA	396779.86	0	0	0	396779.86
Microempresa	16.708.647/0001-02	JTEL SERVICOS EM TELECOMUNICACOES LTDA	383742.97	0	0	0	383742.97
Microempresa	03.147.465/0001-68	METATRON LTDA	383692.2	0	0	0	383692.2
Microempresa	08.086.685/0001-42	LC CONSULTING ELABORACAO DE PROGRAMAS LTDA - ME	372753.33	0	0	0	372753.33
Microempresa	20.711.953/0001-75	WORLDVISION CONSULTORIA E DESENVOLVIMENTO APLICACIONAL LTDA	362611.54	0	0	0	362611.54
Microempresa	08.484.735/0001-40	CONECTROM LTDA	331426.29	0	0	0	331426.29
Microempresa	06.916.933/0001-00	WCA MENTORING & CONSULTING - ESTRATEGIAS CORPORATIVAS LTDA	318198.01	0	0	0	318198.01
Microempresa	08.204.087/0001-20	MAXIMUS ENGENHARIA LTDA	309559.85	0	0	0	309559.85
Microempresa	92.565.266/0001-08	ANPESSAN COM. E REPRESENTACOES LTDA	298990.48	0	0	0	298990.48
Microempresa	02.677.129/0001-64	SIGNALLINK INFORMATICA LTDA	297578.94	0	0	0	297578.94
